,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 Edition",,,,,,,,,,,,,,,,,,,,,,,
BEVERAGES,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine,,
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg,,
"COFFEE, TEA AND SUBSTITUTES",,,,,,,,,,,,,,,,,,,,,,,
"Chai, latte",250mL,242,149,624,5,26,26,0,3,2.0,13,186,0.1,67,263,19,150,88,tr,0,13,,
"Coffee, brewed",250mL,250,2.5,10.0,tr,0,0,0,tr,tr,0,5,tr,5,123,8,8,0,0,0,100,,
"Coffee, brewed, decaffeinated",250mL,251,2.5,10.0,tr,0,0,0,0,0,0,5,0.1,5,135,13,3,0,0,0,3,,
"Coffee, instant, regular, powder + water",250mL,253,5,20,tr,1,0,0,tr,tr,0,10,0.1,5,76,8,8,0,0,0,66,,
"Coffee, latte",250mL,256,101,420,5,7,9,0,6,3.5,16,188,0.2,79,340,89,156,46,tr,0,193,,
"Coffee, substitute, powder + water",250mL,254,13,53,tr,3,tr,0.8,tr,tr,0,8,0.2,8,79,10,18,0,0,0,0,,
Iced cappuccino - original - with cream (Tim HortonsTM),250mL, ,211,886,2,28,28,0,9,5.0,38,80,0.3,42,,,,,0,,,,
Iced cappuccino - with 2% milk (Tim HortonsTM),250mL, ,127,533,3,27,27,0,1,1.0,4,70,0.3,30,,,,,0,,,,
"Iced coffee, Frappuccino (StarbucksTM)",250mL,,127,533,3,26,22,0,2,1.0,7,110,0,120,,,,,0,,60,,
"Iced tea, lemon flavor, ready-to-drink",250mL,254,91,383,0,23,23,0,0,0,0,,,53,,,,0,,0,,,
"Iced tea, lemon flavour, powder + water",250mL,274,93,389,tr,23,23,0,tr,tr,0,5,0.1,8,52,5,3,0,tr,0,30,,
"Tea, brewed",250mL,250,3,10,0,1,0,0,tr,tr,0,0,0.1,8,93,8,3,0,0,0,50,,
"Tea, brewed, herbal",250mL,250,3,10,0,1,0,0,tr,tr,0,5,0.2,3,23,3,0,0,0,0,0,,
CARBONATED DRINKS,,,,,,,,,,,,,,,,,,,,,,,
Club soda,250mL,250,0,0,0,0,0,0,0,0,0,13,tr,53,5,3,0,0,0,0,0,,
Cola,250mL,262,110,461,tr,28,24,0,0,0,0,8,0.1,10,3,3,34,0,0,0,26,,
"Cola, aspartame sweetened",250mL,250,3,10,tr,tr,0,0,0,0,0,8,0.1,13,15,3,28,0,0,0,35,,
"Cola, decaffeinated",250mL,262,107,448,0,28,28,0,0,0,0,5,0.1,10,8,0,29,0,0,0,0,,
Ginger ale,250mL,258,88,366,0,23,22,0,0,0,0,8,0.5,18,3,3,0,0,0,0,0,,
Lemon-lime soda,250mL,260,104,433,0,27,23,0,0,0,0,5,0.2,29,3,3,0,0,0,0,0,,
"Non cola soda, aspartame sweetened",250mL,250,0,0,0,tr,0,0,0,0,0,10,0.1,40,5,3,0,0,0,0,0,,
Orange soda,250mL,262,126,527,0,32,,0,0,0,0,13,0.2,31,5,3,3,0,0,0,0,,
Tonic water,250mL,258,124,520,0,32,32,0,0,0,0,4,tr,15,0,0,0,0,0,0,0,,
FRUIT FLAVOURED DRINKS,,,,,,,,,,,,,,,,,,,,,,,
"Citrus juice drink, frozen, diluted (Five AliveTM)",250mL,262,131,548,tr,32,30,0.3,tr,0,0,13,1.8,5,128,10,10,3,38,0,0,,
"Fruit flavour drink, low Calorie, powder + water (Crystal LightTM)",250mL,254,3,14,0,1,0,0,tr,0,0,6,tr,6,0,3,2,tr,0,0,0,,
"Fruit punch flavour drink, powder (Kool-AidTM) + water",250mL,276,102,427,0,26,,0,tr,tr,0,44,0.1,39,3,3,55,0,0,0,0,,
"Fruit punch flavour drink, vitamin C added, powder + water",250mL,277,102,429,0,26,,0,tr,tr,0,44,0.1,39,3,3,55,0,100,0,0,,
"Fruit punch juice drink, ready-to-drink (Sunny DTM)",250mL,262,123,516,0,33,31,0,0,0,0,3,0.1,26,31,,3,0,3,0,0,,
"Lemonade, pink or white, frozen, diluted",250mL,262,105,440,tr,27,13,0.2,tr,tr,0,8,0.4,6,39,5,5,0,10,0,0,,
"Mixed vegetable and fruit juice drink, ready-to-drink (V8 SplashTM)",250mL,257,113,472,tr,29,5,0.3,tr,0,0,10,0.2,41,62,5,8,259,81,0,0,,
"Orange drink, vitamin C added (Hi-CTM), ready-to-drink",250mL,262,134,558,0,34,29,0,tr,tr,0,16,0.7,42,47,5,3,3,94,0,0,,
"Orange drink, vitamin C added (TangTM, QuenchTM, Rise'n ShineTM), powder + water",250mL,286,135,564,0,34,34,0,0,0,0,140,0.1,11,69,3,63,220,88,0,0,,
OTHER BEVERAGES,,,,,,,,,,,,,,,,,,,,,,,
"Sports drink, fruit flavour, low Calorie, ready-to-drink (GatoradeTM, PoweradeTM)",250mL,261,29,120,0,8,0,0,0,0,0,0,0.1,91,26,3,23,0,16,0,0,,
"Sports drink, fruit flavour, ready-to-drink (GatoradeTM, PoweradeTM)",250mL,258,67,281,0,16,14,0,tr,0,0,3,0.5,101,36,3,23,0,1,,,,
"Water, mineral (PerrierTM)",250mL,250,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,,
"Water, municipal",250mL,250,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,0,0,0,0,,
ALCOHOLIC,,,,,,,,,,,,,,,,,,,,,,,
"Beer, de-alcoholized, (Labbat .5TM)",1 can,350,210,878,1,47,28,0,tr,0.1,0,24,0.2,45,28,24,56,0,2,1,0,,
"Beer, high alcohol (7%alcohol by volume)",1 bottle,342,183,766,1,10,,0.7,0,0,0,17,0.1,17,86,21,41,0,0,20,0,,
"Beer, light (4% alcohol by volume)",1 bottle,340,99,412,1,5,tr,0,0,0,0,14,0.1,14,71,17,41,0,0,11,0,,
"Beer, regular (5% alcohol by volume)",1 bottle,342,140,586,1,10,0,0,0,0,0,14,0.1,14,92,21,48,0,0,14,0,,
"Cocktail, daiquiri",125mL,128,237,993,tr,9,7,0.1,tr,tr,0,4,0.1,6,27,3,6,0,2,29,0,,
"Cocktail, margarita",125mL,131,246,1031,tr,6,4,0.1,tr,tr,0,4,0.1,527,23,2,7,tr,2,33,0,,
"Liqueur, coffee and cream",45mL,53,172,719,1,11,10,0,8,5.1,31,8,0.1,48,17,1,26,91,tr,7,4,,
Sangria,125mL,123,87,365,tr,12,10,0.1,tr,tr,0,9,0.2,13,80,8,10,1,6,6,0,,
"Spirits (gin, rum, vodka, whisky)",50mL,47,109,456,0,0,0,0,0,0,0,0,tr,1,1,0,2,0,0,16,0,,
Vodka cooler,1 bottle,390,220,799,tr,33,12,0.3,1,tr,0,20,0.9,12,211,23,19,tr,11,13,0,,
"Wine, dessert, sweet",125mL,127,203,848,tr,17,10,0,0,0,0,10,0.3,11,117,11,11,0,0,19,0,,
"Wine, table, red",125mL,125,90,375,tr,2,1,0,0,0,0,10,0.5,6,140,16,17,0,0,12,0,,
"Wine, table, white",125mL,125,85,354,tr,1,1,0,0,0,0,11,0.4,6,100,12,17,0,0,12,0,,
